district_id,district_name,state,development_index,population_lakhs,rural_pct,literacy_rate,female_literacy_rate,sc_st_pct,bpl_pct,agricultural_hh_pct,avg_landholding_ha,internet_penetration,health_facilities_per_lakh,pmkisan_eligible,pmkisan_enrolled,pmkisan_uptake_rate,pmkisan_gap_count,ab_eligible,ab_enrolled,ab_uptake_rate,ab_gap_count,combined_gap_score
D0128,BIH_Dist_17,Bihar,0.2525,195.64,0.8402,0.5707,0.4356,0.3581,0.3726,0.6859,1.306,0.1902,6.85,1341963,747229,0.5568,594734,656048,396205,0.6039,259843,0.4196
D0129,BIH_Dist_18,Bihar,0.3436,165.03,0.6447,0.6318,0.5537,0.3284,0.4152,0.5302,1.235,0.1714,12.54,874945,489172,0.5591,385773,616649,396217,0.6425,220432,0.3992
D0130,BIH_Dist_19,Bihar,0.3717,112.55,0.8645,0.6355,0.4848,0.3188,0.2316,0.7266,1.175,0.3595,12.36,817814,474313,0.58,343501,234588,137499,0.5861,97089,0.4169
D0131,BIH_Dist_20,Bihar,0.4172,12.11,0.6848,0.6706,0.4884,0.2617,0.4442,0.44,1.803,0.2414,17.08,53280,33911,0.6365,19369,48403,36260,0.7491,12143,0.3072
D0132,BIH_Dist_21,Bihar,0.353,63.17,0.7562,0.617,0.472,0.2417,0.4314,0.6569,1.252,0.2263,10.64,414968,269714,0.65,145254,245302,125722,0.5125,119580,0.4188
D0133,BIH_Dist_22,Bihar,0.3601,15.04,0.6439,0.7284,0.5147,0.2485,0.4638,0.4552,1.54,0.3341,14.7,68435,44506,0.6503,23929,62765,42737,0.6809,20028,0.3344
D0134,BIH_Dist_23,Bihar,0.2727,49.5,0.6182,0.5817,0.5078,0.1497,0.3981,0.5848,1.182,0.0706,11.03,289444,170445,0.5889,118999,177344,94968,0.5355,82376,0.4378
D0135,BIH_Dist_24,Bihar,0.391,52.83,0.7722,0.6104,0.4295,0.3344,0.4463,0.6195,1.271,0.3382,10.88,327315,191892,0.5863,135423,212229,130399,0.6144,81830,0.3997
D0136,BIH_Dist_25,Bihar,0.1992,38.69,0.6518,0.5219,0.3966,0.3747,0.462,0.6738,1.048,0.2562,12.47,260688,127007,0.4872,133681,160871,88860,0.5524,72011,0.4802
D0137,BIH_Dist_26,Bihar,0.428,83.32,0.7154,0.6727,0.5405,0.3559,0.4967,0.5599,1.336,0.1659,14.25,466492,347050,0.744,119442,372464,219972,0.5906,152492,0.3327
D0138,BIH_Dist_27,Bihar,0.4477,45.72,0.6121,0.7565,0.607,0.3376,0.5446,0.4613,1.419,0.2843,15.61,210879,141957,0.6732,68922,224060,176446,0.7875,47614,0.2697
D0139,BIH_Dist_28,Bihar,0.3002,18.81,0.6855,0.5968,0.4741,0.2126,0.4661,0.438,0.878,0.2197,9.0,82399,47075,0.5713,35324,78922,44043,0.5581,34879,0.4353
D0140,BIH_Dist_29,Bihar,0.4368,31.92,0.7355,0.6119,0.4642,0.4756,0.3924,0.6722,1.23,0.2853,11.35,214548,149930,0.6988,64618,112704,71166,0.6315,41538,0.3349
D0141,BIH_Dist_30,Bihar,0.5021,88.95,0.6176,0.6723,0.5273,0.1687,0.4109,0.5123,2.013,0.3841,13.41,455634,317732,0.6973,137902,328955,211157,0.6419,117798,0.3304
D0142,BIH_Dist_31,Bihar,0.2933,32.03,0.6807,0.6026,0.4663,0.1514,0.4222,0.5095,1.263,0.2172,8.92,163221,95953,0.5879,67268,121710,70789,0.5816,50921,0.4152
D0143,BIH_Dist_32,Bihar,0.2628,39.57,0.7501,0.6529,0.5401,0.3119,0.4754,0.6907,1.385,0.2327,8.02,273327,134329,0.4915,138998,169308,85269,0.5036,84039,0.5025
D0144,BIH_Dist_33,Bihar,0.5642,16.9,0.4958,0.6748,0.5707,0.3166,0.2726,0.4513,2.179,0.4218,19.04,76262,58654,0.7691,17608,41458,29331,0.7075,12127,0.2617
D0145,BIH_Dist_34,Bihar,0.4614,148.3,0.7116,0.6426,0.5676,0.299,0.2186,0.5563,1.843,0.1803,16.57,825038,494726,0.5996,330312,291743,225780,0.7739,65963,0.3132
D0146,BIH_Dist_35,Bihar,0.3297,10.16,0.6574,0.5255,0.3705,0.2704,0.3731,0.6565,1.232,0.3401,9.18,66679,42873,0.643,23806,34107,22466,0.6587,11641,0.3492
D0147,BIH_Dist_36,Bihar,0.2513,34.6,0.7599,0.5275,0.4419,0.3319,0.4499,0.5657,1.034,0.2098,11.25,195742,97030,0.4957,98712,140120,73856,0.5271,66264,0.4886
D0148,BIH_Dist_37,Bihar,0.2057,10.45,0.7705,0.5213,0.4575,0.3352,0.4591,0.6808,1.243,0.2747,5.73,71114,34009,0.4782,37105,43162,21372,0.4952,21790,0.5133
D0149,BIH_Dist_38,Bihar,0.4886,44.4,0.73,0.8037,0.6334,0.3118,0.2536,0.5594,1.273,0.2454,16.25,248357,183440,0.7386,64917,101351,61080,0.6027,40271,0.3294
D0150,WES_Dist_01,West Bengal,0.5363,29.84,0.6459,0.6248,0.4876,0.433,0.2371,0.6861,1.753,0.4184,15.41,204734,170395,0.8323,34339,63686,38965,0.6118,24721,0.2779
D0151,WES_Dist_02,West Bengal,0.5703,39.86,0.7373,0.7347,0.5335,0.2713,0.2686,0.6463,1.917,0.3313,12.89,257627,185692,0.7208,71935,96380,70493,0.7314,25887,0.2739
D0152,WES_Dist_03,West Bengal,0.5704,102.52,0.5345,0.7694,0.5699,0.2054,0.151,0.5505,2.597,0.315,17.08,564415,407699,0.7223,156716,139303,106267,0.7629,33036,0.2574
D0153,WES_Dist_04,West Bengal,0.5917,200.0,0.6874,0.755,0.5588,0.2675,0.3025,0.5699,1.989,0.4479,17.41,1139883,960421,0.8426,179462,544506,403064,0.7402,141442,0.2086
D0154,WES_Dist_05,West Bengal,0.6262,80.9,0.598,0.7978,0.6157,0.2038,0.3758,0.5687,1.893,0.3379,19.07,460058,332095,0.7219,127963,273594,222204,0.8122,51390,0.233
D0155,WES_Dist_06,West Bengal,0.614,12.12,0.7302,0.7716,0.6706,0.3075,0.2388,0.6355,1.714,0.3226,12.38,77018,56535,0.7341,20483,26043,18023,0.6921,8020,0.2869
D0156,WES_Dist_07,West Bengal,0.5585,12.1,0.6569,0.6933,0.5268,0.3088,0.3793,0.5012,1.919,0.3514,13.88,60645,40880,0.6741,19765,41308,26854,0.6501,14454,0.3379
D0157,WES_Dist_08,West Bengal,0.6164,22.75,0.6131,0.7157,0.5334,0.1173,0.1712,0.5228,2.085,0.3829,18.33,118914,88304,0.7426,30610,35053,28988,0.827,6065,0.2152
D0158,WES_Dist_09,West Bengal,0.725,111.13,0.5443,0.6988,0.5846,0.2545,0.2981,0.3945,2.039,0.4827,27.78,438435,356324,0.8127,82111,298149,253740,0.8511,44409,0.1681
D0159,WES_Dist_10,West Bengal,0.548,21.92,0.6026,0.5904,0.4876,0.2392,0.4072,0.5133,1.312,0.3027,19.34,112499,75866,0.6744,36633,80322,55189,0.6871,25133,0.3193
D0160,WES_Dist_11,West Bengal,0.6083,55.5,0.7193,0.6944,0.61,0.2123,0.3379,0.6018,1.681,0.4333,15.42,334006,206707,0.6189,127299,168799,123184,0.7298,45615,0.3257
D0161,WES_Dist_12,West Bengal,0.6638,32.51,0.6949,0.8043,0.7184,0.337,0.3007,0.6648,1.71,0.3248,18.7,216084,170501,0.7891,45583,87981,69578,0.7908,18403,0.2101
D0162,WES_Dist_13,West Bengal,0.3234,50.56,0.6215,0.5965,0.4616,0.2868,0.3844,0.5179,1.721,0.21,12.37,261844,162591,0.6209,99253,174897,91838,0.5251,83059,0.427
D0163,WES_Dist_14,West Bengal,0.6331,107.42,0.682,0.7304,0.6,0.18,0.3987,0.5505,1.993,0.333,13.56,591300,486937,0.8235,104363,385454,266348,0.691,119106,0.2427
D0164,WES_Dist_15,West Bengal,0.5654,36.59,0.5818,0.6955,0.495,0.1663,0.3831,0.4244,1.494,0.3573,13.32,155296,91328,0.5881,63968,126167,87489,0.6934,38678,0.3592
D0165,WES_Dist_16,West Bengal,0.743,52.88,0.5884,0.8314,0.7422,0.2201,0.3371,0.5153,1.697,0.5756,24.5,272507,222800,0.8176,49707,160439,141186,0.88,19253,0.1512
D0166,WES_Dist_17,West Bengal,0.6285,37.93,0.4571,0.6883,0.533,0.2736,0.3125,0.3921,1.816,0.3943,22.04,148715,98749,0.664,49966,106663,79785,0.748,26878,0.294
D0167,WES_Dist_18,West Bengal,0.5417,25.56,0.6463,0.5952,0.4235,0.385,0.3168,0.553,1.418,0.3814,14.04,141363,100516,0.7111,40847,72897,45922,0.63,26975,0.3295
D0168,WES_Dist_19,West Bengal,0.5815,36.73,0.6725,0.7964,0.6588,0.2369,0.2525,0.5006,1.295,0.4723,18.03,183858,146837,0.7986,37021,83477,63125,0.7562,20352,0.2226
D0169,WES_Dist_20,West Bengal,0.5244,28.17,0.5996,0.6951,0.5052,0.4176,0.3405,0.5506,1.099,0.3386,16.16,155108,114775,0.74,40333,86336,58270,0.6749,28066,0.2926
D0170,WES_Dist_21,West Bengal,0.725,13.25,0.5511,0.6626,0.4858,0.2354,0.2257,0.4498,2.064,0.3266,20.89,59600,52046,0.8733,7554,26909,19921,0.7403,6988,0.1932
D0171,WES_Dist_22,West Bengal,0.5652,133.83,0.6863,0.6646,0.5659,0.2666,0.247,0.4963,1.897,0.3484,19.83,664178,479675,0.7222,184503,297515,202598,0.681,94917,0.2984
D0172,WES_Dist_23,West Bengal,0.5495,29.93,0.7072,0.791,0.5899,0.2531,0.4008,0.6434,1.489,0.2597,16.79,192540,133350,0.6926,59190,107944,79237,0.7341,28707,0.2867
D0173,MAD_Dist_01,Madhya Pradesh,0.598,48.4,0.612,0.7043,0.549,0.215,0.3306,0.408,1.742,0.275,18.72,197456,154396,0.7819,43060,143999,104541,0.726,39458,0.246
D0174,MAD_Dist_02,Madhya Pradesh,0.4625,45.42,0.7984,0.5634,0.4214,0.1935,0.3324,0.6119,1.7,0.3091,16.0,277920,208230,0.7492,69690,135893,78482,0.5775,57411,0.3366
D0175,MAD_Dist_03,Madhya Pradesh,0.5594,60.76,0.5823,0.708,0.6222,0.173,0.2974,0.4666,0.598,0.4505,12.21,283493,197725,0.6975,85768,162614,103038,0.6336,59576,0.3345
D0176,MAD_Dist_04,Madhya Pradesh,0.4007,69.72,0.7106,0.6569,0.5137,0.3396,0.4886,0.6323,1.08,0.3109,16.59,440890,242922,0.551,197968,306586,209401,0.683,97185,0.383
D0177,MAD_Dist_05,Madhya Pradesh,0.3897,17.65,0.7414,0.6205,0.4343,0.2574,0.3356,0.4511,1.078,0.3237,10.55,79636,55121,0.6922,24515,53320,34984,0.6561,18336,0.3258
D0178,MAD_Dist_06,Madhya Pradesh,0.4099,25.2,0.6216,0.7025,0.5918,0.2046,0.4487,0.5607,1.339,0.2519,17.46,141301,103354,0.7315,37947,101779,75162,0.7385,26617,0.265
D0179,MAD_Dist_07,Madhya Pradesh,0.4368,89.54,0.6307,0.5981,0.512,0.3211,0.2482,0.5434,1.693,0.3364,16.15,486621,316179,0.6497,170442,200016,121922,0.6096,78094,0.3703
D0180,MAD_Dist_08,Madhya Pradesh,0.2453,73.24,0.8507,0.5698,0.4515,0.3829,0.5052,0.7579,1.294,0.2265,8.05,555144,293286,0.5283,261858,333000,153178,0.46,179822,0.5058
D0181,MAD_Dist_09,Madhya Pradesh,0.4652,23.63,0.7238,0.7061,0.628,0.3974,0.4003,0.61,1.337,0.1419,18.64,144153,94153,0.6532,50000,85131,62815,0.7379,22316,0.3045
D0182,MAD_Dist_10,Madhya Pradesh,0.4919,62.78,0.6933,0.6113,0.5461,0.3686,0.4091,0.5431,1.664,0.3219,13.26,340917,191930,0.563,148987,231155,169251,0.7322,61904,0.3524
D0183,MAD_Dist_11,Madhya Pradesh,0.3917,42.59,0.7684,0.5745,0.4794,0.2638,0.4822,0.7072,1.968,0.2308,10.91,301193,170417,0.5658,130776,184855,99635,0.539,85220,0.4476
D0184,MAD_Dist_12,Madhya Pradesh,0.53,38.1,0.7619,0.5976,0.4667,0.2097,0.2487,0.5281,1.966,0.301,13.95,201226,138791,0.6897,62435,85279,60961,0.7148,24318,0.2977
D0185,MAD_Dist_13,Madhya Pradesh,0.5194,14.84,0.6394,0.7706,0.6552,0.1793,0.3017,0.5066,1.079,0.3131,15.62,75151,58643,0.7803,16508,40280,27310,0.678,12970,0.2708
D0186,MAD_Dist_14,Madhya Pradesh,0.3786,47.23,0.6288,0.7225,0.5439,0.1769,0.3248,0.433,1.067,0.2645,12.78,204538,122756,0.6002,81782,138081,88841,0.6434,49240,0.3782
D0187,MAD_Dist_15,Madhya Pradesh,0.3863,67.87,0.8487,0.6075,0.5041,0.3859,0.2695,0.7923,1.657,0.3571,8.12,537770,333740,0.6206,204030,164619,98971,0.6012,65648,0.3891
D0188,MAD_Dist_16,Madhya Pradesh,0.5631,107.88,0.5837,0.7469,0.5251,0.3842,0.3705,0.5322,1.626,0.2462,15.26,574127,424938,0.7401,149189,359745,239060,0.6645,120685,0.2977
D0189,MAD_Dist_17,Madhya Pradesh,0.4281,41.54,0.7182,0.6322,0.5582,0.2599,0.513,0.5797,1.294,0.1803,13.3,240829,171594,0.7125,69235,191780,138539,0.7224,53241,0.2826
D0190,MAD_Dist_18,Madhya Pradesh,0.4946,40.19,0.7056,0.6142,0.4316,0.3156,0.2789,0.5514,1.292,0.2677,12.74,221611,155314,0.7008,66297,100861,75932,0.7528,24929,0.2732
D0191,MAD_Dist_19,Madhya Pradesh,0.3836,45.39,0.7557,0.637,0.5647,0.3255,0.5099,0.6568,1.58,0.1746,17.81,298129,181021,0.6072,117108,208303,130708,0.6275,77595,0.3827
D0192,MAD_Dist_20,Madhya Pradesh,0.4423,14.16,0.5578,0.695,0.5377,0.3036,0.3546,0.5246,1.899,0.3203,15.92,74273,47008,0.6329,27265,45184,35335,0.782,9849,0.2925
D0193,MAD_Dist_21,Madhya Pradesh,0.5894,54.4,0.5997,0.6692,0.5279,0.3218,0.3777,0.5101,1.679,0.3169,15.66,277473,223448,0.8053,54025,184915,123608,0.6685,61307,0.2631
D0194,MAD_Dist_22,Madhya Pradesh,0.3741,16.76,0.7625,0.5888,0.516,0.2212,0.3739,0.7159,1.177,0.3083,10.0,119973,91926,0.7662,28047,56389,37640,0.6675,18749,0.2831
D0195,MAD_Dist_23,Madhya Pradesh,0.3219,91.18,0.7759,0.5155,0.3926,0.34,0.4778,0.5641,1.286,0.1647,5.02,514322,258460,0.5025,255862,392138,205946,0.5252,186192,0.4861
D0196,MAD_Dist_24,Madhya Pradesh,0.4634,65.11,0.7018,0.7094,0.6027,0.292,0.4025,0.5174,1.217,0.4525,11.51,336866,224403,0.6662,112463,235884,149930,0.6356,85954,0.3491
D0197,MAD_Dist_25,Madhya Pradesh,0.5081,46.46,0.5725,0.7337,0.5259,0.2776,0.2844,0.5164,1.476,0.309,10.58,239924,149544,0.6233,90380,118924,83453,0.7017,35471,0.3375
D0198,MAD_Dist_26,Madhya Pradesh,0.4183,182.35,0.6446,0.6027,0.5376,0.2384,0.2558,0.6941,0.863,0.3597,14.54,1265742,759804,0.6003,505938,419800,285311,0.6796,134489,0.36
D0199,MAD_Dist_27,Madhya Pradesh,0.2191,52.27,0.7995,0.5488,0.4426,0.3818,0.4355,0.6154,0.892,0.2162,6.96,321658,166605,0.518,155053,204852,87632,0.4278,117220,0.5271
D0200,MAD_Dist_28,Madhya Pradesh,0.4194,51.12,0.4884,0.6494,0.4569,0.3053,0.4994,0.3373,1.728,0.4722,18.66,172444,117434,0.681,55010,229757,163121,0.71,66636,0.3045
D0201,MAD_Dist_29,Madhya Pradesh,0.4258,35.35,0.7887,0.715,0.565,0.2423,0.3725,0.6496,1.746,0.3149,11.42,229600,148151,0.6453,81449,118496,82400,0.6954,36096,0.3297
D0202,MAD_Dist_30,Madhya Pradesh,0.4697,25.19,0.7009,0.664,0.4747,0.2404,0.212,0.5614,1.69,0.3954,10.82,141421,91329,0.6458,50092,48067,30459,0.6337,17608,0.3603
D0203,MAD_Dist_31,Madhya Pradesh,0.3816,122.5,0.7882,0.4894,0.4119,0.382,0.4188,0.8177,1.826,0.2571,13.88,1001632,640367,0.6393,361265,461754,301155,0.6522,160599,0.3542
D0204,MAD_Dist_32,Madhya Pradesh,0.3385,45.93,0.8175,0.6057,0.5139,0.4061,0.4383,0.6613,1.447,0.2213,12.7,303715,207550,0.6834,96165,181187,120891,0.6672,60296,0.3247
D0205,MAD_Dist_33,Madhya Pradesh,0.4453,22.56,0.6116,0.7068,0.5618,0.3111,0.3215,0.5852,1.165,0.2312,11.84,132007,92375,0.6998,39632,65270,41730,0.6394,23540,0.3304
D0206,MAD_Dist_34,Madhya Pradesh,0.3202,16.23,0.7557,0.596,0.4628,0.2684,0.3693,0.7145,1.537,0.2798,14.07,115926,70025,0.6041,45901,53925,34457,0.639,19468,0.3785
D0207,MAD_Dist_35,Madhya Pradesh,0.336,69.27,0.7802,0.5475,0.4072,0.2332,0.4992,0.7064,1.465,0.1444,14.0,489367,261061,0.5335,228306,311224,215187,0.6914,96037,0.3876
D0208,MAD_Dist_36,Madhya Pradesh,0.3932,30.97,0.6858,0.623,0.5055,0.3254,0.4471,0.5645,1.299,0.2836,15.06,174817,112902,0.6458,61915,124609,82692,0.6636,41917,0.3453
D0209,MAD_Dist_37,Madhya Pradesh,0.4675,9.82,0.7469,0.5683,0.4953,0.3227,0.4602,0.5996,1.322,0.3036,16.27,58864,34879,0.5925,23985,40658,29174,0.7175,11484,0.345
D0210,MAD_Dist_38,Madhya Pradesh,0.5368,32.7,0.7478,0.7293,0.6017,0.4109,0.3469,0.7088,1.612,0.359,20.43,231757,155068,0.6691,76689,102073,86440,0.8469,15633,0.242
D0211,MAD_Dist_39,Madhya Pradesh,0.47,39.73,0.7149,0.5775,0.4287,0.1325,0.4173,0.6461,1.984,0.3898,12.44,256700,185614,0.7231,71086,149227,107098,0.7177,42129,0.2796
D0212,MAD_Dist_40,Madhya Pradesh,0.4747,112.4,0.684,0.654,0.5481,0.1894,0.3007,0.6753,1.366,0.3844,19.55,758995,534746,0.7045,224249,304214,201525,0.6624,102689,0.3165
D0213,MAD_Dist_41,Madhya Pradesh,0.589,20.29,0.6171,0.6832,0.4808,0.2856,0.3821,0.6177,1.833,0.4016,25.97,125340,84362,0.6731,40978,69791,55466,0.7948,14325,0.2661
D0214,MAD_Dist_42,Madhya Pradesh,0.2976,44.92,0.7579,0.6163,0.5044,0.3589,0.425,0.6337,1.111,0.2013,8.68,284631,149456,0.5251,135175,171824,102034,0.5938,69790,0.4405
D0215,MAD_Dist_43,Madhya Pradesh,0.4804,36.39,0.7535,0.6179,0.5558,0.2337,0.4533,0.6457,1.485,0.3364,13.15,234962,161094,0.6856,73868,148438,101000,0.6804,47438,0.317
D0216,MAD_Dist_44,Madhya Pradesh,0.3767,38.05,0.6654,0.6089,0.4833,0.2442,0.3788,0.5456,1.293,0.2351,13.97,207622,136873,0.6592,70749,129733,76412,0.589,53321,0.3759
D0217,MAD_Dist_45,Madhya Pradesh,0.3337,79.19,0.6942,0.5377,0.4039,0.2753,0.3862,0.5104,1.4,0.346,10.53,404158,203228,0.5028,200930,275204,155933,0.5666,119271,0.4653
D0218,MAD_Dist_46,Madhya Pradesh,0.5382,40.63,0.6806,0.7091,0.5681,0.1949,0.3271,0.5082,1.074,0.3667,13.26,206496,155711,0.7541,50785,119621,79276,0.6627,40345,0.2916
D0219,MAD_Dist_47,Madhya Pradesh,0.4207,108.79,0.8419,0.6012,0.4899,0.2644,0.3486,0.7633,1.673,0.3684,13.82,830403,486662,0.5861,343741,341321,209098,0.6126,132223,0.4007
D0220,MAD_Dist_48,Madhya Pradesh,0.5662,153.46,0.3858,0.7003,0.6076,0.1622,0.1872,0.3023,1.372,0.4214,15.5,463918,330079,0.7115,133839,258549,182335,0.7052,76214,0.2916
D0221,MAD_Dist_49,Madhya Pradesh,0.5823,15.77,0.8237,0.8096,0.6039,0.2515,0.2457,0.7606,1.794,0.2153,17.52,119926,81605,0.6805,38321,34863,24951,0.7157,9912,0.3019
D0222,MAD_Dist_50,Madhya Pradesh,0.4654,23.53,0.7176,0.6336,0.5664,0.2668,0.4613,0.6254,1.344,0.2321,13.62,147157,104978,0.7134,42179,97694,65790,0.6734,31904,0.3066
D0223,MAD_Dist_51,Madhya Pradesh,0.3875,118.74,0.6262,0.6534,0.4859,0.3396,0.4187,0.57,1.494,0.2491,14.82,676822,420195,0.6208,256627,447454,256463,0.5732,190991,0.403
D0224,MAD_Dist_52,Madhya Pradesh,0.3728,6.66,0.7858,0.6021,0.4263,0.2922,0.4242,0.6212,1.303,0.2022,6.09,41361,23961,0.5793,17400,25421,15002,0.5901,10419,0.4153
D0225,MAD_Dist_53,Madhya Pradesh,0.2102,37.42,0.7343,0.5146,0.4454,0.4157,0.6587,0.5465,1.182,0.1526,11.86,204476,101009,0.494,103467,221827,119044,0.5367,102783,0.4847
D0226,MAD_Dist_54,Madhya Pradesh,0.4345,12.23,0.7939,0.6148,0.4501,0.2695,0.3306,0.6451,1.551,0.2923,15.94,78867,49248,0.6244,29619,36376,21775,0.5986,14601,0.3885
D0227,MAD_Dist_55,Madhya Pradesh,0.394,24.17,0.6693,0.7027,0.6005,0.316,0.4518,0.4906,1.425,0.3301,12.38,118566,85688,0.7227,32878,98275,63030,0.6414,35245,0.318
D0228,RAJ_Dist_01,Rajasthan,0.4238,20.1,0.7421,0.5684,0.4281,0.3001,0.45,0.6998,1.299,0.4012,16.34,140623,96846,0.6887,43777,81390,60907,0.7483,20483,0.2815
D0229,RAJ_Dist_02,Rajasthan,0.4317,39.32,0.5678,0.6305,0.4846,0.2578,0.2897,0.4018,1.537,0.2615,15.09,157964,88608,0.5609,69356,102512,67760,0.661,34752,0.389
D0230,RAJ_Dist_03,Rajasthan,0.6461,113.47,0.6899,0.7184,0.5859,0.3102,0.3662,0.7087,1.698,0.3243,14.6,804146,568838,0.7074,235308,373922,266235,0.712,107687,0.2903
D0231,RAJ_Dist_04,Rajasthan,0.4377,76.95,0.7947,0.5836,0.4225,0.2662,0.3699,0.7953,0.901,0.313,8.88,611993,357071,0.5835,254922,256173,151931,0.5931,104242,0.4117
D0232,RAJ_Dist_05,Rajasthan,0.4898,76.01,0.6564,0.6099,0.5163,0.3266,0.3752,0.5719,1.916,0.3585,15.66,434723,256712,0.5905,178011,256675,160940,0.627,95735,0.3912
D0233,RAJ_Dist_06,Rajasthan,0.4702,10.38,0.595,0.6672,0.4829,0.4483,0.3958,0.4582,2.13,0.322,16.15,47549,31717,0.6671,15832,36965,26429,0.715,10536,0.309
D0234,RAJ_Dist_07,Rajasthan,0.4455,98.39,0.7044,0.6417,0.508,0.2621,0.4107,0.5053,1.004,0.3395,12.5,497131,324994,0.6537,172137,363643,263947,0.7258,99696,0.3102
D0235,RAJ_Dist_08,Rajasthan,0.377,25.64,0.6714,0.5358,0.3975,0.3661,0.4979,0.5111,1.346,0.2649,8.64,131021,82791,0.6319,48230,114883,69430,0.6044,45453,0.3819
D0236,RAJ_Dist_09,Rajasthan,0.4166,5.57,0.737,0.5033,0.3643,0.2744,0.3426,0.6579,1.435,0.3008,11.36,36656,23639,0.6449,13017,17177,9458,0.5506,7719,0.4022
D0237,RAJ_Dist_10,Rajasthan,0.4847,35.49,0.6529,0.6949,0.5445,0.2892,0.3705,0.4915,1.673,0.3368,12.8,174428,99867,0.5725,74561,118334,87406,0.7386,30928,0.3444
D0238,RAJ_Dist_11,Rajasthan,0.5123,27.43,0.5458,0.7062,0.5304,0.3697,0.4839,0.4091,1.311,0.3103,15.86,112213,70891,0.6318,41322,119464,81537,0.6825,37927,0.3429
D0239,RAJ_Dist_12,Rajasthan,0.5054,56.57,0.6656,0.6575,0.4823,0.2371,0.349,0.6371,1.085,0.3381,14.34,360408,271427,0.7531,88981,177686,137073,0.7714,40613,0.2377
D0240,RAJ_Dist_13,Rajasthan,0.5972,116.63,0.8002,0.685,0.5382,0.285,0.3299,0.7189,1.621,0.423,17.36,838414,532863,0.6356,305551,346242,235792,0.681,110450,0.3417
D0241,RAJ_Dist_14,Rajasthan,0.4651,139.58,0.6827,0.6779,0.5442,0.3656,0.3459,0.4568,1.472,0.3564,12.23,637558,471016,0.7388,166542,434534,254280,0.5852,180254,0.338
D0242,RAJ_Dist_15,Rajasthan,0.5877,63.71,0.6502,0.686,0.5707,0.2383,0.2115,0.5779,1.853,0.3134,11.15,368209,243477,0.6612,124732,121247,82185,0.6778,39062,0.3305
D0243,RAJ_Dist_16,Rajasthan,0.4559,30.85,0.7215,0.5826,0.4176,0.2992,0.277,0.5976,1.587,0.2463,12.6,184334,113310,0.6147,71024,76905,49032,0.6376,27873,0.3739
D0244,RAJ_Dist_17,Rajasthan,0.4867,43.66,0.651,0.6378,0.5209,0.2713,0.2168,0.5507,1.978,0.3128,16.06,240422,172910,0.7192,67512,85199,53565,0.6287,31634,0.326
D0245,RAJ_Dist_18,Rajasthan,0.5179,71.34,0.7365,0.667,0.4736,0.1234,0.2956,0.6072,1.773,0.4178,13.71,433167,259771,0.5997,173396,189784,123344,0.6499,66440,0.3752
D0246,RAJ_Dist_19,Rajasthan,0.5342,125.21,0.6622,0.6439,0.5077,0.2238,0.2373,0.4486,1.634,0.2677,16.62,561757,368906,0.6567,192851,267449,198072,0.7406,69377,0.3013
D0247,RAJ_Dist_20,Rajasthan,0.4433,62.82,0.6025,0.6078,0.5081,0.1609,0.4147,0.452,1.124,0.4092,12.89,283946,182797,0.6438,101149,234485,159705,0.6811,74780,0.3376
D0248,RAJ_Dist_21,Rajasthan,0.4425,22.13,0.756,0.5634,0.4875,0.2034,0.2847,0.6792,1.364,0.3676,17.84,150324,88453,0.5884,61871,56715,41521,0.7321,15194,0.3397
D0249,RAJ_Dist_22,Rajasthan,0.5514,109.01,0.6242,0.8079,0.6411,0.3171,0.1825,0.6543,1.392,0.2562,16.66,713177,544710,0.7638,168467,179081,138309,0.7723,40772,0.2319
D0250,RAJ_Dist_23,Rajasthan,0.5976,169.45,0.6939,0.7366,0.5529,0.2097,0.4057,0.6214,1.343,0.4319,21.52,1053008,820815,0.7795,232193,618643,544405,0.88,74238,0.1703
D0251,RAJ_Dist_24,Rajasthan,0.3475,92.95,0.6696,0.5749,0.482,0.3484,0.3464,0.477,1.534,0.2997,12.93,443352,261968,0.5909,181384,289737,138360,0.4775,151377,0.4658
D0252,RAJ_Dist_25,Rajasthan,0.4633,93.47,0.6625,0.6905,0.4946,0.2789,0.2623,0.6969,1.552,0.2335,10.5,651394,437392,0.6715,214002,220604,154243,0.6992,66361,0.3147
D0253,RAJ_Dist_26,Rajasthan,0.481,192.82,0.5482,0.8386,0.7408,0.352,0.2778,0.4464,1.832,0.2417,15.35,860678,600683,0.6979,259995,482059,344859,0.7154,137200,0.2933
D0254,RAJ_Dist_27,Rajasthan,0.5746,36.48,0.6396,0.7782,0.5449,0.2815,0.4151,0.4938,2.093,0.2969,16.63,180160,122692,0.681,57468,136293,111096,0.8151,25197,0.2519
D0255,RAJ_Dist_28,Rajasthan,0.5332,31.96,0.5931,0.8064,0.5797,0.2436,0.4595,0.5242,1.403,0.2867,16.49,167560,108588,0.6481,58972,132187,90665,0.6859,41522,0.333
D0256,RAJ_Dist_29,Rajasthan,0.482,32.36,0.73,0.6489,0.4652,0.4713,0.2323,0.6818,1.974,0.1662,14.0,220635,137976,0.6254,82659,67649,44362,0.6558,23287,0.3594
D0257,RAJ_Dist_30,Rajasthan,0.5935,23.64,0.7444,0.5678,0.4346,0.2846,0.4091,0.5185,2.033,0.3098,15.67,122566,80611,0.6577,41955,87033,64285,0.7386,22748,0.3018
